year_month,avg_price_per_sqm,sample_count
2015-01-01,61332.83,18
2015-02-01,65621.71,14
2015-03-01,63892.78,23
2015-04-01,68763.78,9
2015-05-01,65532.05,22
2015-06-01,64858.0,14
2015-07-01,70547.46,13
2015-08-01,65651.41,17
2015-09-01,68682.31,16
2015-10-01,65892.0,5
2015-11-01,70166.18,11
2015-12-01,68383.59,17
2016-01-01,67954.21,14
2016-02-01,72575.87,15
2016-03-01,70206.43,7
2016-04-01,71363.29,14
2016-05-01,75605.33,12
2016-06-01,72330.2,15
2016-07-01,72278.08,12
2016-08-01,75840.94,18
2016-09-01,79218.17,12
2016-10-01,79556.5,18
2016-11-01,80754.0,12
2016-12-01,82400.62,13
2017-01-01,88097.8,15
2017-02-01,86225.05,19
2017-03-01,86261.47,17
2017-04-01,87023.0,15
2017-05-01,86711.79,19
2017-06-01,87576.87,23
2017-07-01,90473.54,13
2017-08-01,90750.71,21
2017-09-01,95374.83,6
2017-10-01,86937.53,15
2017-11-01,89702.12,16
2017-12-01,86256.38,16
2018-01-01,93989.59,17
2018-02-01,93127.36,11
2018-03-01,87683.13,15
2018-04-01,92059.11,9
2018-05-01,88758.25,16
2018-06-01,86926.76,17
2018-07-01,84548.91,11
2018-08-01,83030.89,18
2018-09-01,88230.53,15
2018-10-01,83043.67,15
2018-11-01,88043.12,16
2018-12-01,85503.0,13
2019-01-01,84767.92,13
2019-02-01,82539.5,16
2019-03-01,84762.44,16
2019-04-01,84907.83,12
2019-05-01,86266.07,15
2019-06-01,88948.83,18
2019-07-01,89072.77,13
2019-08-01,83741.94,16
2019-09-01,87094.0,14
2019-10-01,87986.54,13
2019-11-01,84455.8,15
2019-12-01,87277.88,17
2020-01-01,86505.35,17
2020-02-01,88346.41,17
2020-03-01,89059.6,15
2020-04-01,89724.8,15
2020-05-01,87921.3,10
2020-06-01,88131.33,9
2020-07-01,85751.43,14
2020-08-01,93361.33,21
2020-09-01,95484.12,16
2020-10-01,90461.47,17
2020-11-01,92665.0,9
2020-12-01,93107.19,16
2021-01-01,93673.45,11
2021-02-01,94037.79,14
2021-03-01,97328.2,10
2021-04-01,93767.71,14
2021-05-01,98212.0,10
2021-06-01,98176.58,12
2021-07-01,103426.0,18
2021-08-01,96393.06,16
2021-09-01,94115.4,10
2021-10-01,99628.47,17
2021-11-01,96027.29,17
2021-12-01,97828.13,15
2022-01-01,99697.14,14
2022-02-01,101135.25,12
2022-03-01,102082.15,13
2022-04-01,101611.05,19
2022-05-01,100528.69,16
2022-06-01,95929.35,23
2022-07-01,98822.3,20
2022-08-01,98326.81,16
2022-09-01,94751.24,21
2022-10-01,101411.27,15
2022-11-01,99777.14,7
2022-12-01,98182.41,17
2023-01-01,102000.63,19
2023-02-01,99891.95,20
2023-03-01,102768.46,13
2023-04-01,106368.12,16
2023-05-01,100679.14,14
2023-06-01,100978.64,14
2023-07-01,99847.69,16
2023-08-01,101092.72,18
2023-09-01,104200.65,17
2023-10-01,104264.57,21
2023-11-01,105732.47,15
2023-12-01,105442.65,26
2024-01-01,102333.68,31
2024-02-01,104429.64,11
2024-03-01,104963.75,16
2024-04-01,103817.38,13
2024-05-01,104700.67,18
2024-06-01,113469.42,12
2024-07-01,104776.64,11
2024-08-01,101761.17,12
2024-09-01,105435.4,10
2024-10-01,110612.45,11
2024-11-01,107217.0,21
2024-12-01,108452.36,22
2025-01-01,105603.89,18
2025-02-01,108539.78,18
2025-03-01,105639.61,18
2025-04-01,107845.19,27
2025-05-01,110191.18,17
2025-06-01,114771.55,11
2025-07-01,94048.93,15
2025-08-01,94032.36,14
2025-09-01,90864.38,13
2025-10-01,87928.22,9
2025-11-01,94154.75,12
2025-12-01,93667.91,11
